DBHID,PlotName,PlotID,Family,Genus,SpeciesName,Mnemonic,Subspecies,SpeciesID,SubspeciesID,QuadratName,QuadratID,PX,PY,QX,QY,TreeID,Tag,StemID,StemNumber,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,Date,ListOfTSM,HighHOM,LargeStem,Status
352722,luquillo,1,Urticaceae,Cecropia,schreberiana,CECSCH,NA,74,NA,721,327,122.77,419.65,2.77,19.65,26157,17007,33036,0,17007,NA,4,4,190,1.28,2006-11-20,17125,MAIN;A,1,NA,alive
467088,luquillo,1,Rubiaceae,Psychotria,berteroana,PSYBER,NA,184,NA,621,326,117.59,417.3,17.59,17.3,2025,102297,2482,0,102297,NA,5,5,NA,NA,2012-01-30,19022,MAIN;DEADT,1,NA,dead
619457,luquillo,1,Rubiaceae,Psychotria,berteroana,PSYBER,NA,184,NA,721,327,126.63,414.45,6.63,14.45,126614,178215,166194,0,178215,NA,6,6,20,1.3,2016-07-28,20663,MAIN;A,1,NA,alive
468823,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,722,343,126.87,433.22,6.87,13.22,7843,109244,115876,0,156273,NA,5,5,NA,NA,2012-02-01,19024,SPROUT;LS;B,1,NA,broken below
410792,luquillo,1,Piperaceae,Piper,glabrescens,PIPGLA,NA,174,NA,721,327,122.91,412.81,2.91,12.81,108563,154749,143277,0,154749,NA,4,4,NA,NA,2006-11-20,17125,MAIN;A;LS;B,1,NA,broken below
385246,luquillo,1,Salicaceae,Casearia,sylvestris,CASSYL,NA,73,NA,621,326,106.17,406.98,6.17,6.98,2156,102437,114514,0,154466,NA,4,4,NA,NA,2006-11-17,17122,SPROUT;LS,1,NA,stem dead
608678,luquillo,1,Elaeocarpaceae,Sloanea,berteroana,SLOBER,NA,198,NA,621,326,102.51,405.49,2.51,5.49,26118,16970,32988,0,102051,NA,6,6,78,1.3,2016-07-21,20656,SPROUT;A,1,NA,alive
611435,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,721,327,124.56,418.84,4.56,18.84,108592,154783,143309,0,154783,NA,6,6,NA,NA,2016-07-28,20663,MAIN;A;LS;B,1,NA,broken below
422453,luquillo,1,Arecaceae,Prestoea,acuminata,PREMON,NA,182,NA,721,327,139,410.8,19,10.8,119491,-127901,156599,0,-127901,NA,4,4,171,1.3,2006-11-22,17127,MAIN;A,1,NA,alive
608856,luquillo,1,Myrtaceae,Myrcia,splendens,MYRSPL,NA,156,NA,622,342,106.56,429.59,6.56,9.59,8567,110096,160991,0,175309,NA,6,6,NA,NA,2016-08-15,20681,SPROUT;LS;B,1,NA,broken below
467058,luquillo,1,Araliaceae,Schefflera,morototoni,SCHMOR,NA,196,NA,721,327,124.08,418.18,4.08,18.18,1891,102131,2297,0,102131,NA,5,5,166,1.28,2012-01-30,19022,MAIN;A,1,NA,alive
410760,luquillo,1,Piperaceae,Piper,glabrescens,PIPGLA,NA,174,NA,721,327,121.82,405.25,1.82,5.25,108541,154718,143245,0,154718,NA,4,4,NA,NA,2006-11-20,17125,MAIN;A;LS;B,1,NA,broken below
385101,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,621,326,104.46,412.55,4.46,12.55,1841,102081,2241,0,102081,NA,4,4,NA,NA,2006-11-16,17121,MAIN;DEADT,1,NA,dead
388409,luquillo,1,Melastomataceae,Miconia,prasina,MICPRA,NA,146,NA,622,342,101.56,437.01,1.56,17.01,8396,109883,10482,0,109883,NA,4,4,NA,NA,2006-11-17,17122,MAIN;DEADT,1,NA,dead
410951,luquillo,1,Lauraceae,Ocotea,leucoxylon,OCOLEU,NA,161,NA,721,327,137.73,408.22,17.73,8.22,108706,154942,143436,0,154942,NA,4,4,29.1,1.3,2006-11-22,17127,MAIN;A,1,NA,alive
410571,luquillo,1,Rubiaceae,Psychotria,berteroana,PSYBER,NA,184,NA,621,326,110.77,406.01,10.77,6.01,108392,154512,143056,0,154512,NA,4,4,NA,NA,2006-11-17,17122,MAIN;DEADT,1,NA,dead
384599,luquillo,1,Piperaceae,Piper,glabrescens,PIPGLA,NA,174,NA,721,327,134.52,413.59,14.52,13.59,794,100884,977,0,100884,NA,4,4,NA,NA,2006-11-21,17126,MAIN;DEADT,1,NA,dead
488915,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,622,342,107.09,429.39,7.09,9.39,125029,175310,163227,0,175310,NA,5,5,13.7,1.3,2012-01-31,19023,MAIN;A,1,NA,alive
444265,luquillo,1,Arecaceae,Prestoea,acuminata,PREMON,NA,182,NA,621,326,111.55,412.56,11.55,12.56,26140,16991,33017,0,16991,NA,5,5,187,1.29,2012-01-30,19022,MAIN;A,1,NA,alive
